label,application_type_abstract,publication_title_claims
A,utility The disclosure  directed   underwater park ride system that includes  track having  plurality  air registers embedded within the track for discharging compressed air  The underwater park ride system further includes  underwater vehicle having  air engine that  configured  collect the discharged compressed air   manner that propels the underwater vehicle along the track ,Underwater park ride system
G,utility The present disclosure relates   pixel driving circuit   display device and  driving method  The pixel driving circuit  configured  control  and off   pixel unit  and includes   first control sub circuit   first output sub circuit   second control sub circuit   second output sub circuit   third control sub circuit  and  fourth control sub circuit  Specifically  the fourth control sub circuit  configured   turned    cause  voltage drop  the first level signal input  the first level signal input terminal and  output the first level signal with the voltage drop  the third control node  such that  voltage  the third control node  less than  equal   voltage  the first control node  thereby maintaining the third control sub circuit off ,Pixel driving circuit  display device and driving method
"G,H",utility  accordance with one  more embodiments  the present disclosure   method for facilitating financial transactions over  network includes communicating with  user via  first mobile communication device over the network  obtaining  geo location  the first mobile communication device  communicating with  merchant via  second mobile communication device over the network  obtaining  radius  coverage for the second mobile communication device  determining whether the geo location  the first mobile communication device  within the radius  coverage  the second mobile communication device  and providing  listing  the first mobile communication device  one  more items for sale  the merchant when the first mobile communication device  within the radius  coverage  the second mobile communication device ,System and method for location based mobile commerce
H,utility  printed wiring board  the present invention includes  insulating substrate layer   first conductive layer laminated  one surface  the substrate layer   second conductive layer laminated  another surface  the substrate layer  and  via hole formed along  inner surface   connection hole that  provided    thickness direction  through the substrate layer and the first conductive layer  the via hole electrically coupling the first conductive layer and the second conductive layer   cross sectional shape  the connection hole along  least one surface  the substrate layer   irregular shape ,Printed wiring board
"C,A",utility The present application discloses  simple process for the purification  neutral human milk oligosaccharides  HMOs  produced  microbial fermentation  The process uses  combination  cationic ion exchanger treatment   anionic ion exchanger treatment  and  nanofiltration and  electrodialysis step  which allows efficient purification  large quantities  neutral HMOs  high purity  Contrary  the purification currently used  fermentative production  neutral HMOs  the presented process allows the provision  HMOs without the need   chromatographic separation  The  purified HMOs may  obtained  solid form  spray drying   crystalline material   sterile filtered concentrate  The provided HMOs are free  proteins and recombinant material originating from the used recombinant microbial strains and thus very well suited for use  food  medical food and feed     pet food  applications ,Process for efficient purification of neutral human milk oligosaccharides  HMOs  from microbial fermentation
C,utility The present invention relates   procatalyst comprising the compound represented  formula    internal electron donor  Formula  wherein   hydrogen   methyl group    nitrogen atom    oxygen atom  and   carbon atom  The present invention also relates   process for preparing said polymerization procatalyst and   polymerization catalyst system comprising said procatalyst    catalyst and optionally  external electron donor  Furthermore  the present invention relates   polyolefin obtainable  the process according  the present invention and  the use  the compound  formula    internal electron donor  catalysts for polymerization  olefins ,Procatalyst for polymerization of olefins
G,utility The disclosed computer implemented method may include tracking  using  low order degree  freedom  DOF  mode   orientation   device based  input from  inertial measurement unit  IMU   the device  The method may also include determining  using  magnetometer  that the device has entered  magnetic tracking volume defined   least one magnet and  response  determining that the device has entered the magnetic tracking volume  transitioning from the low order DOF mode   high order DOF mode that tracks  higher number  DOFs than the low order DOF mode  The method may also include tracking  using the high order DOF mode  the position and orientation  the device based  input from both the IMU and the magnetometer  Various other methods  systems  and computer readable media are also disclosed ,Systems and methods for transitioning to higher order degree of freedom tracking
G,utility Systems and methods are described for the collection and transmission  virtual machine resource operations information  Individual agents  virtual machine resources collect and store operations information  accordance with  current operations information collection configuration  The individual agents will initiate  transmission  the collected operations information  Responsive  the receipt  the transmission  the collected operations information  the monitoring processing service calculates  hierarchy  anomaly scores utilizing machine learning techniques  The monitoring processing service can generate  processing result ,Dynamically configurable operation information collection
"C,B",utility  method  synthesis  two dimensional     nanoparticles comprises combining  first nanoparticle precursor and  second nanoparticle precursor  one  more solvents  form  solution  followed  heating the solution   first temperature for  first time period  then subsequently heating the solution   second temperature for  second time period  wherein the second temperature  higher than the first temperature   effect the conversion  the nanoparticle precursors into   nanoparticles   one embodiment  the first nanoparticle precursor   metal amine complex and the second nanoparticle precursor   slow releasing chalcogen source ,Synthesis of luminescent  D layered materials using an amine met al complex and a slow sulfur releasing precursor
"A,C",utility The instant disclosure provides antibodies that specifically bind  LAG        human LAG    and antagonize LAG   function  Also provided are pharmaceutical compositions comprising these antibodies  nucleic acids encoding these antibodies  expression vectors and host cells for making these antibodies  and methods  treating  subject using these antibodies ,Anti LAG   antibodies and methods of use thereof
"A,B",utility  food processing system includes  base and  actuator that  releasably mounted  the base  The actuator may have  unactuated position and  actuated position  Numerous accessories each may  individually and interchangeably mountable  and releasable from  least one  the base and the actuator  Each attachment may perform  food processing function when the actuator  moved from the unactuated position  the actuated position ,Food processing system and interchangeable actuated accessories
"B,G,F",utility  apparatus for processing biological sample  provided  which comprises  semi permeable membrane column   adaptor column and  vacuum manifold  The  least one semi permeable membrane column  configured for accommodating biological sample therein and comprises  curved surface  The  least one adaptor column  configured for accommodating the semi permeable membrane column therein and comprises  stopping element  The vacuum manifold  configured for creating  vacuum that facilitates flowing  the biological sample into the semi permeable membrane column through  semi permeable membrane therein  The stopping element abuts against the curved surface   disposing the stopping element within the adaptor column  the present disclosure prevents the biological sample from suffering  unbalance pressure  splash upwardly outside the semi permeable membrane column thereby causing  possibility  decreasing the testing efficiency  when the semi permeable membrane column  removed out  the adaptor column ,Apparatus for processing biological sample
"H,G",utility There  disclosed  mobile terminal including  first case comprising  battery loading portion   battery loaded  the battery loading portion   second case coupled  the first case and configured  cover the battery   coil antenna module arranged between the second case and the battery  and  controller electrically connected  the coil antenna module and configured  transmit and receive  signal  receive  electric power  wherein the coil antenna module includes  insulating sheet   first coil arranged   surface  the insulating sheet   second coil arranged  the first coil   third coil arranged  the second coil  and  magnetic sheet disposed  the surface  the insulating sheet  and ends  the first  second and third coils are arranged  the surface  the insulating sheet  dividedly arranged  both surfaces  the insulating sheet  The mobile terminal may realize the coil antenna module including  plurality  coils configured  perform diverse manners  wireless communication   limited area ,Mobile terminal and coil antenna module
"G,A",utility  display system providing  the motorcyclist  field  view all required visual information  form  the image projected into optical infinity  traffic direction  realized  using located  the motorcyclist  helmet the autonomous optoelectronic system including the display module comprising  the light emitting micro display  the collimating lens  the flat semitransparent reflector  fixed  the lens case and located  front  the motorcyclist  eye  that  observe the luminous informational image projected into optical infinity against the external situation picture background  Said reflector  movably mounted  two positions  working and distant from the face  The lens assembly including the micro display and bracket with the reflector  equipped with  adjustment bracket allowing  place   front  right  left motorcyclist  eye   camera and  photo sensor measuring the background brightness are mounted  the helmet body ,Collimating display system for motorcyclists
F,utility  lamp device for vehicle   comprises  light source     inner lens   configured  accept light  the light source    and  housing   configured  cover  periphery  the light source unit   and the inner lens    When  traveling direction   light beam with  largest light amount  the light emitted from the light source    defined  front  the housing   includes  back surface portion    located   rear side  the inner lens    and  lower surface portion    located   lower side  the inner lens    the lower surface portion    includes  extended portion    extended   front side   front surface portion     the inner lens    ,Lamp device for vehicle
F,utility  micro electromechanical fluid control device includes  least one flow guiding unit  The  least one flow guiding unit includes  inlet plate   substrate   resonance membrane   actuating membrane and  outlet plate sequentially stacked   first chamber  defined between the resonance membrane and the actuating membrane and  second chamber  defined between the actuating membrane and the outlet plate  While the piezoelectric membrane  the flow guiding unit drives the actuating membrane   fluid  inhaled into the convergence chamber via the inlet  the inlet plate  transported into the first chamber via the central aperture  the resonance membrane  transported into the second chamber via  vacant space  the actuating membrane  and discharged out from the outlet  the outlet plate     control the fluid  flow ,Micro electromechanical fluid control device
F,utility  air gun  provided with  magazine safety system and methods  making the air gun safe utilizing the magazine  The air gun includes  magazine well protrusion      floorplate  configured  extend into the magazine well when  magazine  properly inserted into and received  the magazine well   the extended position  the protrusion prevents actuation  the main valve  the air gun  When  magazine  properly inserted into the magazine well  the protrusion  pushed into  recessed  depressed position  the interaction  the magazine with the magazine well such that the protrusion does not prevent actuation  the main valve  the air gun ,Air gun magazine safety system
C,utility The invention discloses  preparation method   polyimide film having  low dielectric constant and high fracture toughness   the method  aromatic diamine solution  firstly prepared  and then  poly   norbornene     dicarboxylic anhydride alt maleimide isobutyl polyhedral oligomeric silsesquioxane  and aromatic dianhydride are ground  uniformly mixed  added  the aromatic diamine solution  and stirred  obtain  poly   norbornene     dicarboxylic anhydride alt maleimide isobutyl polyhedral oligomeric silsesquioxane  polyamic acid solution  the solution  uniformly applied   clean glass sheet  then placed   vacuum drying oven  cooled  room temperature  and then  film  peeled off  water  ultrasonic and dried under vacuum  obtain the desired product  The dielectric constant  the film obtained  the invention  reduced       and the elongation  break  increased        the tensile breaking energy  increased        showing greatly improved elongation  break and fracture energy  and good fracture toughness ,Method for preparing polyimide film having low dielectric constant and high fracture toughness
B,utility  system and method are provided for producing wood curls with reliable consistency and resiliency  Moisture content  wood blocks  determined and  plurality  cutting knives are installed   disc   curling machine and set  extend about       inches from the face  the disc  The wood blocks are fed through the curling machine and the feed rate  set based  the moisture content  the blocks and the sharpness  the cutting knives and readjusted based  the resiliency  previously cut curls  order  produce wood curls   desired resilience ,System and method of making wood curls
C,utility  alkoxylated bio oil composition  provided  The alkoxylated bio oil composition may include  alkoxylated bio oil prepared from  alkoxylation  dewatered bio oil   method for preparing  alkoxylated bio oil composition  provided   copolymer composition  provided  The copolymer composition may include  alkoxylated bio oil copolymer unit   method for preparing  copolymer composition  provided ,Direct alkoxylation of bio oil
"A,F",utility Apparatus and methods for integrated emergency wash systems  Various embodiments include thermostatically controlled mixing valves arranged    permit load carrying  the body  the valve  Further  the integrated wash systems are especially suited for use  laboratories and manufacturing settings  which available space    premium ,Integrated emergency wash and shower system
H,utility  content streaming system and methodology for facilitating the management  content streaming   video packaging and origination service requests streaming content that  organized according  content segments  Individual content segments will  encoded according   plurality  encoding profiles and generated  different encoders  The video packaging and origination service utilizes synchronization information provided  the encoders  select individual encoded content segments responsive  the request for streaming content ,Distributed multi datacenter video packaging system
H,utility Embodiments herein relate   method performed   radio network node       for handling Beam Reference Signals  BRS    beam transmitted  the radio network node         wireless communications network  The radio network node creates BRS blocks  wherein each BRS block comprises  respective group  adjacent subcarriers for the BRS belonging   port  the beam  wherein the BRS belonging  the port  carried over each subcarrier  the respective group  adjacent subcarriers  each BRS block  Furthermore  the radio network node transmits the BRS blocks spread over  bandwidth   same Orthogonal Frequency Division Multiplexing  OFDM  symbol ,Methods and systems for providing channel estimation
F,utility  rotatable connection for  mount device for placement   operating room includes  adjustable stopping mechanism that can  disposed between  first connection component and  second connection component that  mounted rotatably relative  the first connection component about  axis  rotation  The adjustable stopping mechanism may  adapted  establish  least two different relative rotational angles  the connection components relative  one another   least two different rotation ranges  The adjustable stopping mechanism includes  rotation lock that can  disposed non rotatingly  the first connection component and  coupling part that can  disposed non rotatingly  the second connection component and that has  form locking contour for establishing individual rotational angle positions  and may include  stopping device with  integral stop  The stopping device may  non rotatingly positionable   support system  mount device are also provided ,Rotatable connection with limited rotational angle
"H,G",utility  push camera apparatus comprising      least one reel configured  rotate   base  pay out  reel   cable  the reel having  cable input     the cable having  proximate end and  distal end  the proximate end being connected  the cable input      camera connected  the distal end and configured  transmit image data through the cable  the cable input  and     communication module operatively connected  the cable input and configured  rotate with the reel  and  transmit wirelessly the image data from the cable input   wireless controller ,Wireless push camera
"G,A",utility  precision agriculture prescription system which provides precision agriculture prescriptions   estimating fertilizer application rates and providing  prescription for spatial distribution  the selected product over  given field   with  goal  achieving  efficient use  budgeted fertilizer product    The system utilizes historical and forecast weather data   well  remote sensing satellite imagery  maximize the grower  budgeted fertilizer products over his her fields  This  done  assessing the normalized difference vegetation index  NDVI  from    many satellite images  the given field    The system also leverages regional historical weather data  correlate prior seasons  growth patterns and climate effects  and regional weather forecast data  incorporate predictive climate impacts   soil mineralization model  applied  the system  prescribe  efficient spatial distribution down  the image pixel level for the selected product   over the grower  field     provide  economic advantage for the grower ,System and method for prescribing fertilizer application rates for spatial distribution of a product
"B,F",utility  redundant multi point chain hoist apparatus  disclosed    least one embodiment  the apparatus provides  motor   first chain path sized and configured for slidably receiving  first chain   separate  redundant second chain path sized and configured for slidably receiving  second chain   first brake  mechanical communication with the first chain path   second brake  mechanical communication with the second chain path  and  gear train  The gear train  configured for enabling the motor  selectively cause the first and second chains  move  unison yet independently via the separate first and second chain paths   use  with the apparatus engaged with each   elevated surface and  load  the apparatus  capable  selectively lifting  lowering and sustaining the load relative  the elevated surface via each  the first and second chains  even  one  the first  second chains  chain paths   brakes should experience  failure ,Redundant multi point chain hoist apparatus
G,utility  semiconductor structure includes  first processor   first die   substrate  There   second processor   second die  the substrate  There   one time programmable  OTP  memory programming circuit  outside  the first and second die  and shared  the first and second processors  Each  the first and second processors include  one time programmable  OTP  memory  The OTP memory programming circuit  configured  program each OTP memory ,System implementation of one time programmable memories
"A,C",utility The present invention provides oligopeptides   particular  Ang       derivatives  and methods for using and producing the same   one particular embodiment  oligopeptides  the invention have higher blood brain barrier penetration and   vivo half life compared  the native Ang        thereby allowing oligopeptides  the invention   used   wide variety  clinical applications including  treatment  cognitive dysfunction and pain ,Ang       derivative oligopeptides for the treatment of pain
"G,H",utility  camera and  terminal including the same are disclosed  The camera according   embodiment  the present invention includes   first prism apparatus  reflect  first input light input   first direction   second direction   second prism apparatus  reflect  second input light input   third direction opposite  the first direction  the second direction  and output the reflected second input light  the first prism apparatus   lens apparatus  receive the first input light from the first prism apparatus  the second input light from the second prism apparatus  and  image sensor configured  generate  image signal based  the first input light  the second input  Accordingly    possible  implement  slim camera that can use  single image sensor  the time  front photographing and rear photographing ,Camera with an image sensor generating an image signal based on input light reflected by a prism apparatus and passing through lens apparatus  and terminal including the same
A,utility The present invention relates  herbicidal compositions comprising  isoxazolo      pyridine and  least one further compound selected from herbicidally active compounds and   desired  safeners  The present invention also relates  the use  such  composition for controlling unwanted vegetation and   method for controlling unwanted vegetation  which comprises allowing  composition  act  plants  their seeds and  their habitat ,Herbicidal compositions comprising isoxazolo     b pyridines
B,utility  vehicle for variably sized transportation may include  vehicle basis and exterior elements coupled  the vehicle basis   least some exterior elements may  collapsible  movably coupled  the vehicle basis   first set  positions   first set  extended  collapsed states  form  first operational configuration     second set  positions   second set  extended  collapsed states  form  second operational configuration  The first  second operational configuration may provide for  first  second shadow and  first  second passenger  cargo space for the vehicle  The first and second shadows and the first and second passenger  cargo spaces may differ   least their longitudinal dimensions   latitudinal dimensions  Other embodiments may also  described and claimed ,Vehicles for variably sized transportation
"A,H",utility  vaporizer assembly includes  tube having  first end with  inlet opening and  second end with  outlet opening  The vaporizer assembly also includes  heater element configured  vaporize liquid aerosol forming substrate  The heater element   the second end  the tube  The first end  the tube  fluidly connectable with  liquid storage portion  When the first end  the tube  fluidly connected with the liquid storage portion  the liquid aerosol forming substrate can flow from the liquid storage portion through the inlet opening into the tube  The outlet opening  the tube includes perforations having  width ranging from about   micrometer  about     micrometers ,Vaporiser assembly for an aerosol generating system
"G,H",utility Method  apparatus  and computer program product are provided for merging multiple compute nodes with trusted platform modules  TPMs  utilizing  authentication protocol with active TPM provisioning   some embodiments  compute nodes are connected   available for merger into  single multi node system  Each compute node includes  TPM accessible  firmware  the node  One compute node  assigned the role  master compute node  MCN   with the other node   each assigned the role  slave compute node  SCN   Active TPM provisioning  each SCN produces key information that  sent  the MCN  enable use   challenge response exchange with each SCN   quote request  sent from the MCN  each SCN   response  receiving the quote request   quote response  sent from each respective SCN  the MCN  wherein the quote response includes slave TPM content along with TPM logs and associated signatures ,Merging multiple compute nodes with trusted platform modules utilizing authentication protocol with active trusted platform module provisioning
A,utility  vacuum device comprises  vacuum generator and  vacuum interface for fluidically coupling the vacuum generator   vacuum cavity for affixing  ophthalmological patient interface   patient  eye  The vacuum device comprises  movement detector which  configured  detect movements  the patient  eye and  control unit that  configured  detect  faulty fluidic coupling  the vacuum cavity  the basis   pressure that  ascertained   coupled pressure sensor and  produce  control signal for interrupting  ophthalmological treatment that  carried out   ophthalmological treatment device   eye movement  detected  the movement detector  the same time  the detected faulty fluidic coupling  the vacuum cavity ,Vacuum device and method of monitoring an ophthalmological patient interface
C,utility The invention provides  method  inhibiting  TYK  kinase  which method comprises bringing into contact with the TYK  kinase  effective TYK  kinase inhibiting amount   compound having the formula            salt  stereoisomer thereof  The invention also provides  novel subset  compounds within formula      well  pharmaceutical compositions containing them and their use  medicine ,Pharmaceutical compounds
"A,B",utility  stuffed animal bottle holder apparatus for securing  baby bottle   car seat  stroller includes  stuffed torso   pair  hind legs and  head are coupled  the torso  The head has  pair  eyes   pair  ears  and  nose coupled   snout portion  The snout portion has  bottle cavity extending into the torso that  configured  receive the baby bottle   bottle ring  coupled  the head   pair  arms coupled  the torso and  pair  hands coupled  the pair  arms are used  secure the apparatus  the car seat  Each  the pair  hands comprises  palm and  plurality  fingers coupled  the palm  The torso  the pair  hind legs  the head  the pair  arms  and the pair  hands form  stuffed animal ,Stuffed animal bottle holder apparatus
"H,G",utility  software defined network multi layer controller  SDN MLC  may communicate with multiple layers   telecommunication network  The SDN MLC may have  optimization algorithm that helps manage   near real time  the multiple layers  the telecommunication network ,Multi layer system optimization
"F,G",utility  one embodiment   sensor network  attached   structure and employed  detect and analyze load changes such  impacts from projectiles   analyzer coupled  the sensors can determine where  the structure the projectile impacted  Coupled with information  the origin point  the projectile     where  was fired from  the analyzer can then estimate the trajectory  the projectile  The analyzer can also determine whether the projectile passed through the structure and     can extrapolate the estimated trajectory  determine  estimation  whether the projectile has also impacted  object behind the structure ,Systems and methods for ballistic impact detection and trajectory estimation
"H,G",utility The application discloses  array substrate  comprising  base   conductive pattern layer disposed  the base   transparent electrode layer  and  insulating layer disposed between the conductive pattern layer and the transparent electrode layer  the conductive pattern layer comprises  plurality  first conductive patterns  the transparent electrode layer comprises  plurality  transparent electrodes  each  the transparent electrodes  electrically coupled   corresponding one  the first conductive patterns through  corresponding via hole  the insulating layer  wherein   position where  least one via hole  located   stepped structure  formed between the first conductive pattern corresponding  the via hole and the base and  the insulating layer such that  groove  formed   upper surface  the array substrate   position corresponding  the via hole  The application further discloses  display device ,Array substrate with stepped groove and display device
C,utility The present invention relates   self healing polyurethane   polyol for use  the polyurethane  and  the use  the polyol and  polyurethane  coatings  elastomers  composites  adhesives and  sealants  The polyurethane  capable  exhibiting self healing  for example  intrinsic self healing  which results  recovery   proportion  one  more physical parameters  The polyurethane which  capable  self healing  the reaction product  reactants comprising  polyol   polyisocyanate  and optionally   chain extender  The polyol comprises  least one dimer fatty residue   least one urethane  amide  carbonate group  and  least two hydroxyl end groups ,Polyurethane
"H,G",utility  method  computing device and computer program product generate  temporary password  control access   record created  response   electronic message   electronic message  parsed  separately identify  plurality  fields that provide different types  information  Record   are accessed from  database that are associated with the information provided   least one field   action   initiated  the electronic message  determined  either  taken    rejected based upon information provided  the field    the electronic message and also based upon information from the record   accessed from the database   the action  rejected   record  the electronic message  created for transmission along with information regarding the rejection   temporary password  also generated  control access  the record created regarding the electronic message and its rejection  The response includes the temporary password ,Method and apparatus for generating and providing a temporary password to control access to a record created in response to an electronic message
"G,H,A",utility Methods for providing track condition information include receiving    first mobile track control station   track condition notification  Such methods further include transmitting  from the first mobile track control station   second mobile track control station   network  mobile track control stations  the track condition notification  Such methods further include receiving   the first mobile track control station from  third mobile track control station  affected track sector data regarding  affected track sector  Such methods further include transmitting  from the first mobile track control station   first mobile track information station within  first vehicle  the affected track sector data  wherein the affected track sector data  configured   used  the first mobile track information station  determine whether the first vehicle  within the affected track sector ,Track information system
"G,H",utility Systems and methods for providing  website tracking system include  system provider device that detects  first interaction between  user and  web browser executing  the user device while the web browser displays  first merchant website  the first interaction determined   first downloaded code provided  the system provider device   some embodiments   second interaction between the user and the web browser  detected while the web browser displays  second merchant website  the second interaction determined   second downloaded code provided  the system provider  Based  the first interaction and the second interaction  one  more entries   system provider database  updated  The system provider device thereafter causes   displayed    graphical user interface  GUI   the user device  the one  more entries ,Website tracking system
"G,H",utility According  the invention   current measurement circuit for providing  measurement signal for  controller for controlling  switching  power switches   power converter comprises  first current sensing circuit for sensing  first bidirectional current representative   current through  first power switch  the power converter  The first current sensing circuit  being adapted  provide  first sensing signal indicative  the first bidirectional current  The current measurement circuit further comprises  second current sensing circuit for sensing  second bidirectional current representative   current through  second power switch  the power converter  The second current sensing circuit  adapted  provide  second sensing signal indicative  the second bidirectional current ,Current measurement circuit
C,utility  process and system are disclosed for recovering lithium from  lithium containing silicate mineral  The process and system comprise mixing the silicate mineral with nitric acid  The process and system also comprise subjecting the mixture   leaching process having conditions such that lithium values  the silicate mineral are leached from the silicate mineral  lithium nitrate  The nitric acid can   aqueous  gaseous  precursor gaseous form ,Recovery of lithium from silicate minerals
"G,B",utility  high bay warehouse for metal coils includes  plurality  storage modules  The storage modules are lined   longitudinal rows and transverse  the depth directions thereof  The storage modules have  plurality  compartments arranged one above the other  Storage modules are separated  aisles extending parallel   storage and retrieval sides  the storage modules   least one storage and retrieval unit  which can  displaced back and forth   provided  each aisle  The storage and retrieval units have  frame   vertical uprights  the frame  lifting bridge  formed with  least one telescopic holder  which can  moved  and out   orthogonally relative  the aisle  The storage and retrieval unit   its  least one telescopic holder  has   shaped carrying which  beneath the telescopic holder  has  horizontally running pin which can  moved into  middle opening  the respective coil ,High bay warehouse with storage and retrieval units provided therein for storing and retrieving  or transferring  articles
